company_id,represent_company_name,for_service_location
1,원티드랩,1
2,OKAY.com,1
3,이상한마케팅,1
4,인포뱅크,1
5,아이씨그룹,1
6,딤딤섬 대구점,1
7,파운데이션엑스,1
8,엣지랭크,1
9,커넥티어,1
10,자버(Jober),1
11,앨리스헬스케어,1
12,(주)몬스터스튜디오,1
13,SM Entertainment Japan,2
14,쿠차,1
15,ZMP,2
16,몽키랩,1
17,와이케이비앤씨,1
18,코츠테크놀로지,1
19,비고라이브,1
20,크로싱,1
21,트리노드,1
22,와이즈키즈(wisekids),1
23,Obelab,1
24,Foodpanda,4
25,웹티즌,1
26,마이셀럽스,1
27,데이터얼라이언스(DataAlliance),1
28,쿼드자산운용,1
29,주식회사 링크드코리아,1
30,주렁주렁(zoolungzoolung),1
31,Amore Pacific_TEST,1
32,Luna Marketing Group,2
33,동신항운,1
34,히숲,1
35,COVENANT,1
36,젠틀파이,1
37,아크로고스,1
38,페르소나미디어,1
39,Rejoice Pregnancy,5
40,The Wave,4
41,CoCoon Foundation,4
42,스트라다월드와이드(Strada),1
43,도빗(Dobbit),1
44,지란지교시큐리티,1
45,캠퍼스멘토,1
46,삼일제약,1
47,제이에이치개발,1
48,오케이코인코리아,1
49,그릿연구소,1
50,세계정부 世界政府,1
51,투게더앱스,1
52,Dream Agility,1
53,대성시스템,1
54,바이럴네이션,1
55,오가나셀,1
56,디토나인,1
57,Haulio,5
58,대상홀딩스(주) - existing,1
59,만나씨이에이,1
60,지오코리아(페루관광청),1
61,KFC Korea,1
62,까브드뱅(Cave de Vin),1
63,홈스토리생활,1
64,아이엠에이치씨(IMHC),1
65,플라이트그래프-탈퇴,1
66,YG PLUS,1
67,우리말소프트,1
68,아로마티카,1
69,Private Organization,1
70,스피링크,1
71,Onion Ground,1
72,브레이브팝스,1
73,Bidalgo,1
74,티엠씨케이,1
75,(주) 휴톰-중복,1
76,Chengbao,4
77,헬프미,1
78,(주) 새론다이내믹스,1
79,마상소프트,1
80,(주)아임블록,1
81,(주)이모션글로벌-중복,1
82,Altagram,1
83,이베스트투자증권,1
84,소굿마케팅,1
85,Grab,1
86,HK Yau,4
87,더락포트컴퍼니코리아-중복,1
88,휴마트컴퍼니,1
89,디센터,1
90,컬쳐히어로,1
91,보비어스코리아,1
92,베이글랩스,1
93,Katalis Digital,5
94,애디터(Additor),1
95,Avanade Asia Pte Ltd,5
96,500V2,1
97,플라이앤컴퍼니(푸드플라이),1
98,영우디지탈-중복,1
99,Machipopo Inc.,6
100,시니어벤처스,1
